New abbr,Potts abbr,English title,Latin title,When written,Published?,Sort Order,Is extra?,# sections,Notes
AC,A,Arcana Coelestia,Arcana Coelestia,1747 to 1758,yes,1,std,10837,
HH,H,Heaven and Hell,De Coelo et de Inferno,1757 and 1758,yes,2,std,603,
NJHD,N,The New Jerusalem and its Heavenly Doctrine,De Nova Hierosolyma et ejus Doctrina Caelesti,1757 and 1758,yes,3,std,325,
LJ,J,The Last Judgment,De Ultimo Judicio,1757 and 1758,yes,4,std,74,
WH,W.H.,The White Horse,De Equo Albo,1757 and 1758,yes,5,std,17,
EU,U,Earths in the Universe,De Telluribus in Mundo Nostro Solari,1756 and 1758,yes,6,std,178,
DLord,L,Doctrine of the Lord,Doctrina Novae Hierosolymae de Domino,1761 to 1763 ,yes,7,std,65,
DLife,Life,Doctrine of Life,Doctrina Vitae pro Nova Hierosolyma,1761 to 1763 ,yes,8,std,114,
DFaith,F,Doctrine of Faith,Doctrina Nova Hierosolyma de Fide,1761 to 1763 ,yes,9,std,72,
DSS,S,Doctrine of Sacred Scripture,Doctrina Nova Hierosolyma de Scriptura Sacra,1761 to 1763 ,yes,10,std,118,
LJCont,C.J.,The Last Judgment Continuation,Continuatio de Ultimo Judicio,1763,yes,11,std,90,
DLW,W,Divine Love and Wisdom,De Divino Amore et de Divina Sapientia,1763,yes,12,std,432,
DP,P,Divine Providence,De Divina Providentia,1763 and 1764,yes,13,std,340,
AR,R,Apocalypse Revealed,Apocalypsis Revelata,1764 to 1766,yes,14,std,962,
CL,M,Conjugial Love,De Amore Conjugiali,1767 and 1768,yes,15,std,535,
BE,B,Brief Exposition of Doctrine,Summaria Expositio,1768 and 1760,yes,16,std,120,
ISB,I,Interaction of the Soul and Body,De Commercio Animae et Corporis,1769,yes,17,std,20,
TCR,T,True Christian Religion,Vera Christiana Religio,1769 to 1771,yes,18,std,853,
WLG,WLG,Worship and Love of God,De Cultu et Amore Dei,1745,yes,19,std,131,
HistCrea,Hist. Crea.,History of the Creation,Historia Creationis a Mose Tradita,1745,no,20,yes,,"This essay, 25 nos., appears at the beginning of WE"
WE,WE,The Word Explained,Verbum Explicatum,,no,21,std,,"Adversaria, (Adv), Explicatio in Verbum Historicum Veteris Testamenti, was the original Latin name given to the early part of what became ""The Word Explained""."
WE-SE,,Spiritual Experiences-Word Explained,Experientiae Spirituales - Verbum Explicatum,,no,22,std,403,
SE,D,Spiritual Experiences,Experientiae Spirituales,1747 to 1765,no,23,std,6110,
GadAsher,,Gad and Asher,Gad & Asher,1747,no,24,std,1,
IndexBiblicus,Index Biblicus,Bible Index,Index Biblicus,1746 to 1748,no,25,, ,
SchmidMarg,Swedenborg's Bible,Marginal Notes in Schmidius Bible,,,,26,,,
DMin,D.Min.,Spiritual Experiences Minor,Experientiae Spirituales Minor,1750 and 1751,no,27,std,329,
ACIndex1,,Arcana Coelestia Index 1,"Index Verborum, Nominum, et Rerum in Arcanis Coelestibusù",,no,28,std,26,
SEIndex1,,Spiritual Experiences Index 1,Experientiae Spiritualis - Index 1,1751,no,29,std,,
DeMiraculis,,Miracles and Signs,De Miraculis Divinis et Magicis,1751,no,30,std,18,
AE,E,Apocalypse Explained,Apocalypsis Explicata,1757 to 1759,no,31,std,1232,
DeDomino,De Dom.,De Domino,De Domino,1759,no,32,std,72,
Ath,Ath.,Athanasian Creed,De Athanasii Symbolo,1759,no,33,std,220,
PP,P.P.,Prophets and Psalms,Librorum Propheticorum et Psalmorum Davidis,1759 and 1760,no,34,std,418,
DeVerbo,De Verbo,De Verbo,De Verbo,1761,no,35,std,72,
,,Precepts of Decalog,Praeceptis Decalogi,1762,no,36,std,1,
LJPost,J. (Post.),Last Judgment Posthumous,De Ultimo Judicio post,1760,no,37,std,372,
DLove,D.Love.,Divine Love,De Divino Amore,1762 and 1763,no,38,std,21,
DWis,D.Wis.,Divine Wisdom,De Divina Sapientia,1763,no,39,std,12,"AngIdea, or The Angelic Idea concerning the Creation of the Universe by the Lord, appears near the end of DWis 12."
DeInfluxus,I.,Influx,De Influxu,1763,no,40,std,1,
,,Summaries in Exposition of Apocalypse,Summaria in Explicatione Apocalypseos,1764,no,41,std,20,
DeConj,De Conj.,Marriage,De Conjugio,1766,no,42,std,126,
ConvAng,Conv.,Conversations with Angels,Colloquia cum Angelis,1766,no,43,std,17,
Char,C,Charity,De Charitate,1764,no,44,std,215,
SEIndex2,,Spiritual Experiences Index 2,Experientiae Spiritualis - Index 2,1765,no,45,std,,
5M,5M,Five Memorable Relations,Quinque Memorabilia,1766,no,46,std,24,
MarriageInd1,,Marriage Index 1,Index Operis de Amore Conjugiali 1,1767,no,47,std,119,
MarriageInd2,,Marriage Index 2,Index Operis de Amore Conjugiali 2,1767,no,48,std,40,
DeJust,De Just.,Justification,De Justificatione,1768,no,49,std,55,
ConvCalvin,,Conversation with Calvin,Memorabile Quaestionis cum Calvino ,1768,no,50,yes,7,Potts lumps this in with DeJust
DeDeoSalv,God the Savior,De Deo Salvatore Jesu Christo,no,1769,no,51,std,48,
SciaDoc,Scia. Doc.,Specimen and Sketch,Specimen et Sciagraphia,1769,no,52,std,33,
CanonsNC,Can.,Canons of the New Church,Canones Novae Ecclesiae,1769,no,53,std,47,
WHApp,W.H. App,White Horse Appendix,Appendix de Equo Albo,1769,no,54,std,1,
SConf,DictaProbantia,Scriptural Confirmations,Dicta Probantia,1769,no,55,std,101,
,,Formula Concordia Index,Formula Concordiae - Index,1769,no,56,std,1,
Letters,Letter.,Letter to Hartley,Epistulae,1769,no,57,std,34,This letter is a subset of the Letters in the main system
TCRAdd,TCR Additions,True Christian Religion Additions,Vera Christiana Religio - Additiones,1770,no,58,std,12,
EccHist,Ecc. Hist.,Ecclesiastical History,Historia Ecclesiastica Novae Ecclesiae,1771,no,59,std,1,
9Q,Q,Nine Questions,Quaestiones Novem,1769,no,60,std,9,
Coro,Coro.,Coronis,Coronis,1771,no,61,std,60,
DeConsum,Abom.,Consummation of the Age,De Consummatione Saeculi,1771,no,62,std,1,?
Inv,Inv.,Invitation to the New Church,Invitatio,1771,no,63,std,59,
Docu,Docu.,(Tafel's Documents concerning Swedenborg),Tafel's Documents Concerning Swedenborg,N/A,no,64,yes,N/A,"This book is in collateral literature, not a Swedenborg work per se, but it includes some of Swedenborg's letters and other writings."
